metric,value,notes
target_products,66,
success_products,66,
failed_products,0,
saved_images,163,
zero_image_products,0,
image_count_distribution_1,21,products_with_1_images
image_count_distribution_2,16,products_with_2_images
image_count_distribution_3,16,products_with_3_images
image_count_distribution_4,7,products_with_4_images
image_count_distribution_5,3,products_with_5_images
image_count_distribution_6,2,products_with_6_images
image_count_distribution_7,1,products_with_7_images
file_ext_jpg,149,saved_image_count
file_ext_png,14,saved_image_count
